date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:52:21	24240/24240	---M--	200	added ('OK')	font/woff	date:Sun,%2030%20Oct%202016%2012:00:29%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/fonts/dimbo_regular-webfont.woff	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/fonts/dimbo_regular-webfont.woff	(from http://craftedpixels.net/demo-html/kindergarten-template/css/style.css)
16:52:24	7301/7301	---M--	200	added ('OK')	image/png	date:Sun,%2030%20Oct%202016%2012:00:35%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/images/bg-logo.png	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/images/bg-logo.png	(from http://craftedpixels.net/demo-html/kindergarten-template/css/style.css)
16:52:25	44120/44120	---M--	200	added ('OK')	font/ttf	date:Sun,%2030%20Oct%202016%2012:00:29%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/fonts/dimbo_regular-webfont.ttf	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/fonts/dimbo_regular-webfont.ttf	(from http://craftedpixels.net/demo-html/kindergarten-template/css/style.css)
16:52:27	14198/14198	---M--	200	added ('OK')	image/png	date:Sun,%2030%20Oct%202016%2012:00:39%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/images/sun.png	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/images/sun.png	(from http://craftedpixels.net/demo-html/kindergarten-template/css/style.css)
16:52:27	6682/6682	---M--	200	added ('OK')	image/png	date:Sun,%2030%20Oct%202016%2012:02:29%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/images/prettyPhoto/default/sprite.png	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/images/prettyPhoto/default/sprite.png	(from http://craftedpixels.net/demo-html/kindergarten-template/css/style.css)
16:52:27	1097/1097	---M--	200	added ('OK')	image/png	date:Sun,%2030%20Oct%202016%2012:02:29%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/images/prettyPhoto/default/sprite_x.png	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/images/prettyPhoto/default/sprite_x.png	(from http://craftedpixels.net/demo-html/kindergarten-template/css/style.css)
16:52:27	1162/1162	---M--	200	added ('OK')	image/png	date:Sun,%2030%20Oct%202016%2012:02:30%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/images/prettyPhoto/default/sprite_y.png	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/images/prettyPhoto/default/sprite_y.png	(from http://craftedpixels.net/demo-html/kindergarten-template/css/style.css)
16:52:28	1358/1358	---M--	200	added ('OK')	image/png	date:Sun,%2030%20Oct%202016%2012:02:29%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/images/prettyPhoto/default/sprite_next.png	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/images/prettyPhoto/default/sprite_next.png	(from http://craftedpixels.net/demo-html/kindergarten-template/css/style.css)
16:52:28	1376/1376	---M--	200	added ('OK')	image/png	date:Sun,%2030%20Oct%202016%2012:02:29%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/images/prettyPhoto/default/sprite_prev.png	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/images/prettyPhoto/default/sprite_prev.png	(from http://craftedpixels.net/demo-html/kindergarten-template/css/style.css)
16:52:29	1537/1537	---M--	200	added ('OK')	image/png	date:Sun,%2030%20Oct%202016%2012:02:29%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/images/prettyPhoto/default/default_thumb.png	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/images/prettyPhoto/default/default_thumb.png	(from http://craftedpixels.net/demo-html/kindergarten-template/css/style.css)
